시점,물가지수,최저임금
1989,35.441,600
1990,38.48,690
1991,42.071,820
1992,44.685,925
1993,46.831,1005
1994,49.765,1085
1995,51.995,1170
1996,54.555,1275
1997,56.977,1400
1998,61.258,1485
1999,61.756,1525
2000,63.151,1600
2001,65.719,1865
2002,67.534,2100
2003,69.908,2275
2004,72.418,2510
2005,74.413,2840
2006,76.081,3100
2007,78.01,3480
2008,81.656,3770
2009,83.906,4000
2010,86.373,4110
2011,89.85,4320
2012,91.815,4580
2013,93.01,4860
2014,94.196,5210
2015,94.861,5580
2016,95.783,6030
2017,97.645,6470
2018,99.086,7530
2019,99.466,8350
2020,100,8590
2021,102.5,8720
2022,107.71,9160
